"Building.Name","Units","month","Type","Value","SSP"
"CHSC","kWh",1,"Cooling",0,"Original EPW"
"CHSC","kWh",10,"Cooling",0,"Original EPW"
"CHSC","kWh",11,"Cooling",0,"Original EPW"
"CHSC","kWh",12,"Cooling",0,"Original EPW"
"CHSC","kWh",2,"Cooling",0,"Original EPW"
"CHSC","kWh",3,"Cooling",0,"Original EPW"
"CHSC","kWh",4,"Cooling",2.79525389828344,"Original EPW"
"CHSC","kWh",5,"Cooling",15.0472793556824,"Original EPW"
"CHSC","kWh",6,"Cooling",636.156633694385,"Original EPW"
"CHSC","kWh",7,"Cooling",6002.16015384059,"Original EPW"
"CHSC","kWh",8,"Cooling",3619.71851966331,"Original EPW"
"CHSC","kWh",9,"Cooling",3510.60682324587,"Original EPW"
"PBB","kWh",1,"Cooling",0,"Original EPW"
"PBB","kWh",10,"Cooling",0,"Original EPW"
"PBB","kWh",11,"Cooling",0,"Original EPW"
"PBB","kWh",12,"Cooling",0,"Original EPW"
"PBB","kWh",2,"Cooling",0,"Original EPW"
"PBB","kWh",3,"Cooling",0,"Original EPW"
"PBB","kWh",4,"Cooling",4.85127415649292,"Original EPW"
"PBB","kWh",5,"Cooling",43.572099933121,"Original EPW"
"PBB","kWh",6,"Cooling",1834.63236302952,"Original EPW"
"PBB","kWh",7,"Cooling",17796.8863704808,"Original EPW"
"PBB","kWh",8,"Cooling",10601.735434893,"Original EPW"
"PBB","kWh",9,"Cooling",9861.55953802085,"Original EPW"
"GNOM","kWh",1,"Cooling",0,"Original EPW"
"GNOM","kWh",10,"Cooling",0,"Original EPW"
"GNOM","kWh",11,"Cooling",0,"Original EPW"
"GNOM","kWh",12,"Cooling",0,"Original EPW"
"GNOM","kWh",2,"Cooling",0,"Original EPW"
"GNOM","kWh",3,"Cooling",0,"Original EPW"
"GNOM","kWh",4,"Cooling",2.14154354936095,"Original EPW"
"GNOM","kWh",5,"Cooling",18.4426538077222,"Original EPW"
"GNOM","kWh",6,"Cooling",703.544039798107,"Original EPW"
"GNOM","kWh",7,"Cooling",6986.22459888202,"Original EPW"
"GNOM","kWh",8,"Cooling",4111.9790094857,"Original EPW"
"GNOM","kWh",9,"Cooling",3677.75255859891,"Original EPW"
"HST","kWh",1,"Cooling",0,"Original EPW"
"HST","kWh",10,"Cooling",0,"Original EPW"
"HST","kWh",11,"Cooling",0,"Original EPW"
"HST","kWh",12,"Cooling",0,"Original EPW"
"HST","kWh",2,"Cooling",0,"Original EPW"
"HST","kWh",3,"Cooling",0,"Original EPW"
"HST","kWh",4,"Cooling",7.32514458831938,"Original EPW"
"HST","kWh",5,"Cooling",64.3365645616816,"Original EPW"
"HST","kWh",6,"Cooling",3103.06208473612,"Original EPW"
"HST","kWh",7,"Cooling",29576.2518318485,"Original EPW"
"HST","kWh",8,"Cooling",17426.6067087166,"Original EPW"
"HST","kWh",9,"Cooling",16202.1770289964,"Original EPW"
"BIOE","kWh",1,"Cooling",0,"Original EPW"
"BIOE","kWh",10,"Cooling",0,"Original EPW"
"BIOE","kWh",11,"Cooling",0,"Original EPW"
"BIOE","kWh",12,"Cooling",0,"Original EPW"
"BIOE","kWh",2,"Cooling",0,"Original EPW"
"BIOE","kWh",3,"Cooling",0,"Original EPW"
"BIOE","kWh",4,"Cooling",1.32037653227591,"Original EPW"
"BIOE","kWh",5,"Cooling",10.9676318743596,"Original EPW"
"BIOE","kWh",6,"Cooling",438.687105932515,"Original EPW"
"BIOE","kWh",7,"Cooling",4314.00359875541,"Original EPW"
"BIOE","kWh",8,"Cooling",2542.71450891263,"Original EPW"
"BIOE","kWh",9,"Cooling",2299.03330020446,"Original EPW"
"MSB","kWh",1,"Cooling",0,"Original EPW"
"MSB","kWh",10,"Cooling",0,"Original EPW"
"MSB","kWh",11,"Cooling",0,"Original EPW"
"MSB","kWh",12,"Cooling",0,"Original EPW"
"MSB","kWh",2,"Cooling",0,"Original EPW"
"MSB","kWh",3,"Cooling",0,"Original EPW"
"MSB","kWh",4,"Cooling",0.855933564658382,"Original EPW"
"MSB","kWh",5,"Cooling",8.38624505686881,"Original EPW"
"MSB","kWh",6,"Cooling",321.397886494992,"Original EPW"
"MSB","kWh",7,"Cooling",3128.50657527575,"Original EPW"
"MSB","kWh",8,"Cooling",1872.73459038534,"Original EPW"
"MSB","kWh",9,"Cooling",1765.15104979429,"Original EPW"
"HSE","kWh",1,"Cooling",0,"Original EPW"
"HSE","kWh",10,"Cooling",0,"Original EPW"
"HSE","kWh",11,"Cooling",0,"Original EPW"
"HSE","kWh",12,"Cooling",0,"Original EPW"
"HSE","kWh",2,"Cooling",0,"Original EPW"
"HSE","kWh",3,"Cooling",0,"Original EPW"
"HSE","kWh",4,"Cooling",0.578195669487335,"Original EPW"
"HSE","kWh",5,"Cooling",6.2185998104686,"Original EPW"
"HSE","kWh",6,"Cooling",458.353265146154,"Original EPW"
"HSE","kWh",7,"Cooling",4390.53054236978,"Original EPW"
"HSE","kWh",8,"Cooling",2648.03576797216,"Original EPW"
"HSE","kWh",9,"Cooling",2483.17286005386,"Original EPW"
"HSC","kWh",1,"Cooling",0,"Original EPW"
"HSC","kWh",10,"Cooling",0,"Original EPW"
"HSC","kWh",11,"Cooling",0,"Original EPW"
"HSC","kWh",12,"Cooling",0,"Original EPW"
"HSC","kWh",2,"Cooling",0,"Original EPW"
"HSC","kWh",3,"Cooling",0,"Original EPW"
"HSC","kWh",4,"Cooling",0.436062743246935,"Original EPW"
"HSC","kWh",5,"Cooling",5.87699624555425,"Original EPW"
"HSC","kWh",6,"Cooling",353.78637099247,"Original EPW"
"HSC","kWh",7,"Cooling",3398.56856480915,"Original EPW"
"HSC","kWh",8,"Cooling",2018.74526195209,"Original EPW"
"HSC","kWh",9,"Cooling",1878.52950669825,"Original EPW"
"OTS","kWh",1,"Cooling",0,"Original EPW"
"OTS","kWh",10,"Cooling",0,"Original EPW"
"OTS","kWh",11,"Cooling",0,"Original EPW"
"OTS","kWh",12,"Cooling",0,"Original EPW"
"OTS","kWh",2,"Cooling",0,"Original EPW"
"OTS","kWh",3,"Cooling",0,"Original EPW"
"OTS","kWh",4,"Cooling",0.00522978834231012,"Original EPW"
"OTS","kWh",5,"Cooling",0.100128936750513,"Original EPW"
"OTS","kWh",6,"Cooling",5.77421855186965,"Original EPW"
"OTS","kWh",7,"Cooling",60.3527807838692,"Original EPW"
"OTS","kWh",8,"Cooling",37.3306090512295,"Original EPW"
"OTS","kWh",9,"Cooling",31.672382006884,"Original EPW"
"HCK","kWh",1,"Cooling",0,"Original EPW"
"HCK","kWh",10,"Cooling",0,"Original EPW"
"HCK","kWh",11,"Cooling",0,"Original EPW"
"HCK","kWh",12,"Cooling",0,"Original EPW"
"HCK","kWh",2,"Cooling",0,"Original EPW"
"HCK","kWh",3,"Cooling",0,"Original EPW"
"HCK","kWh",4,"Cooling",1.31118368467581,"Original EPW"
"HCK","kWh",5,"Cooling",11.4165212376802,"Original EPW"
"HCK","kWh",6,"Cooling",445.693704494888,"Original EPW"
"HCK","kWh",7,"Cooling",4347.56557498639,"Original EPW"
"HCK","kWh",8,"Cooling",2567.52247385791,"Original EPW"
"HCK","kWh",9,"Cooling",2336.86895882746,"Original EPW"
"OSB","kWh",1,"Cooling",0,"Original EPW"
"OSB","kWh",10,"Cooling",0,"Original EPW"
"OSB","kWh",11,"Cooling",0,"Original EPW"
"OSB","kWh",12,"Cooling",0,"Original EPW"
"OSB","kWh",2,"Cooling",0,"Original EPW"
"OSB","kWh",3,"Cooling",0,"Original EPW"
"OSB","kWh",4,"Cooling",0.0106047954488898,"Original EPW"
"OSB","kWh",5,"Cooling",0.292672234278622,"Original EPW"
"OSB","kWh",6,"Cooling",11.2225852431236,"Original EPW"
"OSB","kWh",7,"Cooling",118.663081403842,"Original EPW"
"OSB","kWh",8,"Cooling",72.0677950902568,"Original EPW"
"OSB","kWh",9,"Cooling",61.9629506292408,"Original EPW"
"HSBB","kWh",1,"Cooling",0,"Original EPW"
"HSBB","kWh",10,"Cooling",0,"Original EPW"
"HSBB","kWh",11,"Cooling",0,"Original EPW"
"HSBB","kWh",12,"Cooling",0,"Original EPW"
"HSBB","kWh",2,"Cooling",0,"Original EPW"
"HSBB","kWh",3,"Cooling",0,"Original EPW"
"HSBB","kWh",4,"Cooling",3.55180426736831,"Original EPW"
"HSBB","kWh",5,"Cooling",26.5914709377978,"Original EPW"
"HSBB","kWh",6,"Cooling",1079.21386662201,"Original EPW"
"HSBB","kWh",7,"Cooling",10489.8108020458,"Original EPW"
"HSBB","kWh",8,"Cooling",6218.12377476498,"Original EPW"
"HSBB","kWh",9,"Cooling",5726.15422768491,"Original EPW"
"OCN","kWh",1,"Cooling",0,"Original EPW"
"OCN","kWh",10,"Cooling",0,"Original EPW"
"OCN","kWh",11,"Cooling",0,"Original EPW"
"OCN","kWh",12,"Cooling",0,"Original EPW"
"OCN","kWh",2,"Cooling",0,"Original EPW"
"OCN","kWh",3,"Cooling",0,"Original EPW"
"OCN","kWh",4,"Cooling",1.47029093849633,"Original EPW"
"OCN","kWh",5,"Cooling",13.4772421904884,"Original EPW"
"OCN","kWh",6,"Cooling",536.532811092468,"Original EPW"
"OCN","kWh",7,"Cooling",5207.4085006877,"Original EPW"
"OCN","kWh",8,"Cooling",3089.4927300976,"Original EPW"
"OCN","kWh",9,"Cooling",2858.75471042857,"Original EPW"
"OTB","kWh",1,"Cooling",0,"Original EPW"
"OTB","kWh",10,"Cooling",0,"Original EPW"
"OTB","kWh",11,"Cooling",0,"Original EPW"
"OTB","kWh",12,"Cooling",0,"Original EPW"
"OTB","kWh",2,"Cooling",0,"Original EPW"
"OTB","kWh",3,"Cooling",0,"Original EPW"
"OTB","kWh",4,"Cooling",0.613864483645589,"Original EPW"
"OTB","kWh",5,"Cooling",6.63476771742336,"Original EPW"
"OTB","kWh",6,"Cooling",241.877390766707,"Original EPW"
"OTB","kWh",7,"Cooling",2445.09278951731,"Original EPW"
"OTB","kWh",8,"Cooling",1438.63920322639,"Original EPW"
"OTB","kWh",9,"Cooling",1273.36084793318,"Original EPW"
"OTS2","kWh",1,"Cooling",0,"Original EPW"
"OTS2","kWh",10,"Cooling",0,"Original EPW"
"OTS2","kWh",11,"Cooling",0,"Original EPW"
"OTS2","kWh",12,"Cooling",0,"Original EPW"
"OTS2","kWh",2,"Cooling",0,"Original EPW"
"OTS2","kWh",3,"Cooling",0,"Original EPW"
"OTS2","kWh",4,"Cooling",0.0159361555802344,"Original EPW"
"OTS2","kWh",5,"Cooling",0.494142607992063,"Original EPW"
"OTS2","kWh",6,"Cooling",25.8768617532928,"Original EPW"
"OTS2","kWh",7,"Cooling",273.740822136826,"Original EPW"
"OTS2","kWh",8,"Cooling",160.790939734766,"Original EPW"
"OTS2","kWh",9,"Cooling",127.459025521392,"Original EPW"
"HSI","kWh",1,"Cooling",0,"Original EPW"
"HSI","kWh",10,"Cooling",0,"Original EPW"
"HSI","kWh",11,"Cooling",0,"Original EPW"
"HSI","kWh",12,"Cooling",0,"Original EPW"
"HSI","kWh",2,"Cooling",0,"Original EPW"
"HSI","kWh",3,"Cooling",0,"Original EPW"
"HSI","kWh",4,"Cooling",2.11308612676907,"Original EPW"
"HSI","kWh",5,"Cooling",20.777604919556,"Original EPW"
"HSI","kWh",6,"Cooling",1206.41934147671,"Original EPW"
"HSI","kWh",7,"Cooling",11538.9905780467,"Original EPW"
"HSI","kWh",8,"Cooling",6820.91989295692,"Original EPW"
"HSI","kWh",9,"Cooling",6232.470977828,"Original EPW"
"HSF","kWh",1,"Cooling",0,"Original EPW"
"HSF","kWh",10,"Cooling",0,"Original EPW"
"HSF","kWh",11,"Cooling",0,"Original EPW"
"HSF","kWh",12,"Cooling",0,"Original EPW"
"HSF","kWh",2,"Cooling",0,"Original EPW"
"HSF","kWh",3,"Cooling",0,"Original EPW"
"HSF","kWh",4,"Cooling",2.2561036823669,"Original EPW"
"HSF","kWh",5,"Cooling",24.7449705031948,"Original EPW"
"HSF","kWh",6,"Cooling",1115.31294859709,"Original EPW"
"HSF","kWh",7,"Cooling",11005.1699774366,"Original EPW"
"HSF","kWh",8,"Cooling",6516.08145357856,"Original EPW"
"HSF","kWh",9,"Cooling",5788.98595931219,"Original EPW"
"HSH","kWh",1,"Cooling",0,"Original EPW"
"HSH","kWh",10,"Cooling",0,"Original EPW"
"HSH","kWh",11,"Cooling",0,"Original EPW"
"HSH","kWh",12,"Cooling",0,"Original EPW"
"HSH","kWh",2,"Cooling",0,"Original EPW"
"HSH","kWh",3,"Cooling",0,"Original EPW"
"HSH","kWh",4,"Cooling",2.97116298765884,"Original EPW"
"HSH","kWh",5,"Cooling",27.8089240136825,"Original EPW"
"HSH","kWh",6,"Cooling",1287.89905697306,"Original EPW"
"HSH","kWh",7,"Cooling",12521.6530693005,"Original EPW"
"HSH","kWh",8,"Cooling",7493.45976063284,"Original EPW"
"HSH","kWh",9,"Cooling",6908.83364762006,"Original EPW"
"UMSP","kWh",1,"Cooling",0,"Original EPW"
"UMSP","kWh",10,"Cooling",0,"Original EPW"
"UMSP","kWh",11,"Cooling",0,"Original EPW"
"UMSP","kWh",12,"Cooling",0,"Original EPW"
"UMSP","kWh",2,"Cooling",0,"Original EPW"
"UMSP","kWh",3,"Cooling",0,"Original EPW"
"UMSP","kWh",4,"Cooling",9.14018930959016,"Original EPW"
"UMSP","kWh",5,"Cooling",50.7345316305656,"Original EPW"
"UMSP","kWh",6,"Cooling",1957.53960103568,"Original EPW"
"UMSP","kWh",7,"Cooling",18733.8088523432,"Original EPW"
"UMSP","kWh",8,"Cooling",11184.4578770249,"Original EPW"
"UMSP","kWh",9,"Cooling",10556.2866764457,"Original EPW"
"SOCC","kWh",1,"Cooling",0,"Original EPW"
"SOCC","kWh",10,"Cooling",0,"Original EPW"
"SOCC","kWh",11,"Cooling",0,"Original EPW"
"SOCC","kWh",12,"Cooling",0,"Original EPW"
"SOCC","kWh",2,"Cooling",0,"Original EPW"
"SOCC","kWh",3,"Cooling",0,"Original EPW"
"SOCC","kWh",4,"Cooling",0.399854917241777,"Original EPW"
"SOCC","kWh",5,"Cooling",11.7267371226433,"Original EPW"
"SOCC","kWh",6,"Cooling",784.587581574859,"Original EPW"
"SOCC","kWh",7,"Cooling",8178.22429533458,"Original EPW"
"SOCC","kWh",8,"Cooling",4930.62072346043,"Original EPW"
"SOCC","kWh",9,"Cooling",4183.13163995056,"Original EPW"
"HSJ","kWh",1,"Cooling",0,"Original EPW"
"HSJ","kWh",10,"Cooling",0,"Original EPW"
"HSJ","kWh",11,"Cooling",0,"Original EPW"
"HSJ","kWh",12,"Cooling",0,"Original EPW"
"HSJ","kWh",2,"Cooling",0,"Original EPW"
"HSJ","kWh",3,"Cooling",0,"Original EPW"
"HSJ","kWh",4,"Cooling",1.63924631540459,"Original EPW"
"HSJ","kWh",5,"Cooling",18.9393543950567,"Original EPW"
"HSJ","kWh",6,"Cooling",887.135190671165,"Original EPW"
"HSJ","kWh",7,"Cooling",8715.60885399976,"Original EPW"
"HSJ","kWh",8,"Cooling",5048.04087112113,"Original EPW"
"HSJ","kWh",9,"Cooling",4368.07248789285,"Original EPW"
"HHL","kWh",1,"Cooling",0,"Original EPW"
"HHL","kWh",10,"Cooling",0,"Original EPW"
"HHL","kWh",11,"Cooling",0,"Original EPW"
"HHL","kWh",12,"Cooling",0,"Original EPW"
