# EC-Earth3 ssp126 2080-WARMER
Variable,Abbreviation,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Daily mean temperature,TEMP - tas,∆°C,5.15,5.01,3.81,3.92,3.07,3.82,5.01,5.39,4.62,4.53,4.05,6.13
Maximum temperature,TMAX - tasmax,∆°C,5.16,5.09,4.38,4.21,3.55,5.01,6.11,6.13,5.54,6.22,4.69,6.00
Minimum temperature,TMIN - tasmin,∆°C,5.73,4.70,3.71,3.16,2.49,2.78,3.92,4.02,3.70,3.99,4.30,6.59
Precipitation,PREC - pr,fraction,1.48,1.05,0.80,0.96,0.94,0.29,0.41,0.19,0.34,0.50,1.15,1.54
Total downward surface shortwave flux,DSWF - rsds,∆W/m²,-16.24,-11.15,-5.86,-8.38,8.35,45.65,33.19,29.79,24.30,12.77,-3.19,-11.14
Total cloud in longwave radiation,TCLW - clt,∆%,13.67,2.01,8.75,1.72,0.93,-14.35,-8.20,-20.15,-21.36,-9.26,0.78,10.96
Snow depth,SNOW - snd,fraction,0.10,0.08,0.04,0.02,0.00,0.88,1.00,1.00,0.96,0.87,0.01,0.09
Specific humidity,SPHU - huss,∆kg/kg,0.001369,0.001524,0.001379,0.001278,0.001265,0.000871,0.001638,0.000930,0.000846,0.001508,0.001596,0.001724
Mean sea level pressure,MSLP - psl,∆hPa,-7.05,-2.11,-0.41,-1.97,-0.32,1.07,-0.60,-0.20,0.93,-0.35,0.22,-3.66
Wind speed,WIND - sfcWind,fraction,0.9101,0.9515,0.9086,0.8975,0.9721,1.0481,0.9524,1.0133,0.9419,0.9162,1.0117,0.9554
