# EC-Earth3 ssp585 2050-COLDER
Variable,Abbreviation,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Daily mean temperature,TEMP - tas,∆°C,-0.07,-0.03,-1.34,-0.30,-0.34,-0.68,1.27,1.54,1.10,-0.48,0.24,2.52
Maximum temperature,TMAX - tasmax,∆°C,-0.44,0.24,-1.59,-0.01,-1.19,-1.40,0.61,1.29,0.10,-0.45,0.89,2.23
Minimum temperature,TMIN - tasmin,∆°C,-0.47,-0.71,-0.59,-0.07,0.52,0.08,1.46,1.81,1.99,0.43,0.43,2.89
Precipitation,PREC - pr,fraction,1.10,1.01,1.24,1.29,1.35,1.14,1.66,1.06,0.94,1.05,1.08,1.33
Total downward surface shortwave flux,DSWF - rsds,∆W/m²,-0.00,6.92,-10.54,-13.14,-27.38,-15.16,-30.57,-1.61,-6.71,-2.97,-1.84,-3.45
Total cloud in longwave radiation,TCLW - clt,∆%,-0.54,-7.43,8.47,4.09,8.54,5.79,7.08,-1.23,5.23,4.26,-2.06,1.76
Snow depth,SNOW - snd,fraction,1.12,0.27,0.90,0.75,0.02,1.53,1.00,1.00,0.96,3.38,0.57,0.61
Specific humidity,SPHU - huss,∆kg/kg,0.000060,-0.000014,-0.000208,0.000017,0.000269,0.000698,0.001675,0.001634,0.000672,-0.000013,0.000193,0.000577
Mean sea level pressure,MSLP - psl,∆hPa,-2.27,0.03,1.98,0.53,1.34,2.12,0.69,0.76,1.45,0.05,-0.26,-0.69
Wind speed,WIND - sfcWind,fraction,0.9584,0.9119,1.0465,1.0740,0.9498,0.9735,0.9175,0.9286,0.9546,0.9822,0.9789,0.9467
