# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,-0.63,-0.68,-0.61,0.34,-0.39,-0.32,-0.20,-0.17,-0.17,-0.30,-0.37,-0.55
Ground Temperatures,∆°C,depth 2.0 m,-0.55,-0.58,-0.58,-0.00,-0.44,-0.39,-0.27,-0.24,-0.23,-0.29,-0.34,-0.47
Ground Temperatures,∆°C,depth 4.0 m,-0.48,-0.50,-0.53,-0.25,-0.46,-0.43,-0.34,-0.30,-0.29,-0.31,-0.34,-0.42
N6 Dry Bulb Temperature,∆°C,-,-0.3769,-0.1009,-0.7059,-0.4646,-0.4597,-0.1730,-0.5022,0.5450,0.5118,-0.4524,-1.9378,-0.7891
N7 Dew Point Temperature,∆°C,-,-0.3317,-0.3650,-0.1802,-0.1785,-0.1620,1.3332,1.7296,2.4889,1.0062,-0.0863,-1.3808,-0.6324
N8 Relative Humidity,∆%,-,0.5509,-1.4920,2.4649,1.1246,1.0335,6.6867,8.9971,9.7488,1.8762,1.1727,3.4988,1.6779
N9 Atmospheric Station Pressure,∆Pa,-,-154.4609,-121.6484,-45.2734,253.8750,30.5391,114.4844,20.2891,24.7422,31.8594,-82.1250,249.1094,-54.2422
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,16.6725,16.3998,27.5452,22.7421,26.0163,17.4188,16.6542,18.4672,6.0942,13.5632,3.3462,10.1553
N13 Global Horizontal Radiation,∆Wh/m²,-,1.6598,-0.7858,-9.5182,-19.4582,-15.6253,-16.6671,-40.8450,-20.5236,-8.7343,-2.8936,7.2411,3.1240
N14 Direct Normal Radiation,∆Wh/m²,-,4.4768,-12.2103,-12.8772,-34.1781,-23.9977,-36.7925,-128.4137,-74.0178,-57.8083,-23.6951,17.5781,8.0482
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,0.3715,2.8531,-2.6144,0.4091,1.3319,7.5481,38.3583,22.2923,17.3838,5.3032,1.4879,0.9218
N16 Global Horizontal Illuminance,∆lux,-,189.0352,-13.5846,-894.0530,-1782.0685,-1373.1721,-1397.6650,-3597.3567,-1559.5529,-555.9128,-213.7317,749.4874,348.3664
N17 Direct Normal Illuminance,∆lux,-,215.7713,-1231.0529,-1595.9188,-3765.0691,-2919.3881,-4191.7847,-13383.8105,-8257.7809,-6182.3294,-2446.1200,1383.5543,577.1733
N18 Diffuse Horizontal Illuminance,∆lux,-,122.4412,499.7751,83.9888,579.2173,722.1356,1365.3165,4962.1068,3375.7891,2551.0153,795.8591,291.1365,162.6675
N19 Zenith Luminance,∆Cd/m²,-,-28.8593,28.8905,-94.1803,9.9343,58.5965,271.0638,1435.8564,698.6866,398.3874,119.2717,-29.3536,-0.2646
N21 Wind Speed,∆m/s,-,-0.0266,0.0987,0.0193,0.1777,-0.0678,0.0739,-0.1011,-0.1649,-0.0839,0.0001,-0.0622,0.0416
N22 Total Sky Cover,∆deca,-,-1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000
N23 Opaque Sky Cover,∆deca,-,-0.9892,0.0000,0.9919,0.9806,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.9236,-0.9933
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,36.6529,275.7161,105.1146,300.8819,147.2709,-21.1675,473.5726,603.9334,114.3897,199.8518,30.3450,95.0433
