# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,3.50,3.50,3.48,4.21,3.20,3.00,2.92,2.89,2.99,3.08,3.29,3.39
Ground Temperatures,∆°C,depth 2.0 m,3.40,3.46,3.44,3.89,3.26,3.10,3.03,2.97,3.00,3.06,3.21,3.29
Ground Temperatures,∆°C,depth 4.0 m,3.31,3.38,3.37,3.61,3.28,3.17,3.12,3.06,3.05,3.08,3.17,3.23
N6 Dry Bulb Temperature,∆°C,-,4.5253,3.9868,2.7196,2.7778,1.5826,2.6408,3.2796,4.2008,3.8784,2.4675,2.1918,4.3014
N7 Dew Point Temperature,∆°C,-,2.3250,2.8062,2.2558,2.1594,1.9229,2.7995,2.2474,2.6461,2.0764,1.6558,1.5045,2.0153
N8 Relative Humidity,∆%,-,-6.5108,-2.6160,-0.8566,-1.1944,2.0446,1.7900,-3.2595,-4.7373,-6.4300,-0.0466,-1.4467,-6.2861
N9 Atmospheric Station Pressure,∆Pa,-,-455.8516,-114.7109,-6.3594,116.7188,4.8906,74.8438,30.8203,25.1016,23.6016,-93.6484,-15.7656,35.7500
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,59.2840,38.7041,45.5281,32.0655,29.2658,25.4590,28.9899,30.3555,24.4228,30.3116,33.5851,44.8719
N13 Global Horizontal Radiation,∆Wh/m²,-,-8.7006,-6.8979,-17.6109,-9.0085,-11.8240,26.6349,8.6984,14.2731,6.6627,-4.7059,-1.5907,-4.8347
N14 Direct Normal Radiation,∆Wh/m²,-,-17.6853,-37.2919,-33.4805,-7.6203,-15.4667,50.3748,2.8002,22.9012,-3.6396,-28.7097,-8.4881,-19.8114
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,-3.9677,6.0012,-0.5191,-4.5418,-0.2503,-7.2608,2.6105,-1.4207,4.9707,5.6666,0.5937,0.4654
N16 Global Horizontal Illuminance,∆lux,-,-860.9541,-624.3765,-1696.2604,-683.2974,-929.8621,3197.7962,1605.0776,2155.9800,1116.7885,-379.9787,-143.1783,-450.2957
N17 Direct Normal Illuminance,∆lux,-,-1537.5988,-3662.0176,-3549.5614,-1343.2246,-2169.3539,4813.0003,246.6535,2119.5454,-595.5472,-2979.1428,-857.5731,-1789.0849
N18 Diffuse Horizontal Illuminance,∆lux,-,-432.1862,833.0489,237.9666,232.5645,616.2722,-314.1465,922.1319,566.0561,1139.8907,851.4073,111.6552,29.4125
N19 Zenith Luminance,∆Cd/m²,-,-38.6887,120.5611,-7.1790,-179.0702,-9.2219,-442.4676,-30.5036,-143.1319,63.5600,137.3352,0.2880,23.1567
N21 Wind Speed,∆m/s,-,-0.1529,-0.1066,-0.1283,0.0014,-0.0288,-0.0623,-0.1310,-0.0394,-0.0766,-0.0403,-0.0053,-0.1550
N22 Total Sky Cover,∆deca,-,1.0000,0.0000,1.0000,0.0000,0.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.9933,0.0000,0.9919,0.0000,0.0000,-0.9958,0.0000,-0.9906,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,165.8554,75.9728,98.4813,22.6073,54.7164,-229.8749,-216.5868,-299.3260,-387.0093,65.9412,113.4736,257.3965
