# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,8.87,6.99,5.28,4.89,3.72,4.35,5.87,7.81,9.65,10.83,11.17,10.41
Ground Temperatures,∆°C,depth 2.0 m,9.09,7.81,6.42,5.78,4.68,4.80,5.69,7.03,8.47,9.60,10.20,9.98
Ground Temperatures,∆°C,depth 4.0 m,8.88,8.14,7.17,6.53,5.68,5.52,5.92,6.71,7.69,8.59,9.20,9.28
N6 Dry Bulb Temperature,∆°C,-,8.6519,6.4080,5.1763,5.5576,5.4739,6.7989,10.2729,9.9080,11.1179,5.9549,5.3549,8.3391
N7 Dew Point Temperature,∆°C,-,3.0446,3.8811,3.4942,3.6261,3.9791,3.9279,3.8809,3.6810,4.6002,2.6657,2.4114,2.3558
N8 Relative Humidity,∆%,-,-8.5253,-2.7266,-1.0972,-2.8639,-1.0599,-8.0629,-18.0345,-18.8266,-16.2973,-1.2225,-4.0190,-11.7109
N9 Atmospheric Station Pressure,∆Pa,-,-135.0625,200.8906,-105.6797,49.2188,-31.8594,60.7891,-4.2813,-17.3594,21.2188,95.3984,-54.0703,2.8516
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,80.7269,52.4966,50.6707,48.3396,51.9041,41.3908,53.3700,63.8467,53.6056,43.8764,50.9674,74.8415
N13 Global Horizontal Radiation,∆Wh/m²,-,-19.5627,-14.7565,-14.6403,-8.4657,8.6702,62.0096,57.2566,33.0520,21.8344,0.6238,-4.0110,-12.5606
N14 Direct Normal Radiation,∆Wh/m²,-,-25.9445,-66.9065,-26.2238,-6.1964,31.8305,120.0388,121.8821,73.4079,47.8152,-13.5372,-13.9314,-32.9706
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,-12.5863,9.1955,-1.1521,-4.8193,-9.2551,-17.1679,-23.8266,-12.4506,-5.8245,4.4380,-0.1305,-3.6854
N16 Global Horizontal Illuminance,∆lux,-,-2010.3999,-1391.5990,-1377.4659,-588.1193,1239.7550,7377.0971,7446.8491,4396.7781,2978.3546,198.1264,-382.7083,-1237.3958
N17 Direct Normal Illuminance,∆lux,-,-2215.1456,-6350.8789,-2970.8093,-1301.1780,2585.3051,11968.6378,13050.2999,7617.7397,5106.4184,-1661.4807,-1311.9595,-2797.5576
N18 Diffuse Horizontal Illuminance,∆lux,-,-1399.4708,1072.3974,260.0787,273.6673,-317.9155,-1512.6909,-2420.5677,-794.8899,-243.9661,813.4255,12.9794,-481.3253
N19 Zenith Luminance,∆Cd/m²,-,-170.5114,235.2656,-39.0996,-195.6129,-422.4877,-841.3291,-876.0928,-451.6433,-202.0214,91.9051,-1.5345,-46.4293
N21 Wind Speed,∆m/s,-,-0.0507,-0.3353,-0.2129,-0.3007,-0.2404,-0.0973,0.0302,-0.0114,-0.1996,-0.1505,-0.0508,-0.1024
N22 Total Sky Cover,∆deca,-,1.0000,0.0000,0.0000,0.0000,0.0000,-2.0000,-2.0000,-1.0000,-2.0000,-1.0000,0.0000,1.0000
N23 Opaque Sky Cover,∆deca,-,0.9933,0.0000,0.0000,0.0000,0.0000,-1.9958,-1.9933,-0.9906,-1.9722,-0.9772,0.0000,0.9973
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,444.9366,186.7999,11.7861,-4.7449,-261.9005,-525.2956,-888.9872,-814.5328,-711.3880,-130.4466,98.1663,543.6909
