,OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
233,364,2020,UW TOWER BLDG COMPLEX,NonResidential,1142000280,4333 BROOKLYN AVE NE,SEATTLE,WA,98105.0,47.66072,-122.31466,NORTHEAST,1.0,1971,23,4,474546,474546,0,70.0,59.7,58.1,28329122.0,27573478.0,167.2,162.7,Office,Office,474546.0,,,,,8081324,0,0,Compliant,No Issue,27573477.0,0.0,146.6,0.3
234,365,2020,UW TOWER DATA CENTER,NonResidential,1142000290,4310 12TH AVE NE,SEATTLE,WA,98105.0,47.6606,-122.31512,NORTHEAST,1.0,1969,5,1,36000,36000,0,98.0,910.9,910.9,32791080.0,32791080.0,2550.4,2550.4,Data Center,Data Center,36000.0,,,,,9610516,0,0,Compliant,No Issue,32791081.0,0.0,174.4,4.8
344,495,2020,4245 ROOSEVELT - UW MEDICAL CENTER,NonResidential,1145000310,4245 ROOSEVELT WAY NE,SEATTLE,WA,98105.0,47.65884,-122.3183,NORTHEAST,1.0,1994,4,1,191276,95995,95281,20.0,92.7,92.7,8899708.0,8896529.0,252.8,252.8,Medical Office,Medical Office,95995.0,Parking,95281.0,,,2499566,0,3680,Compliant,No Issue,8528519.0,368009.0,64.9,0.7
528,738,2020,UW BENJAMIN HALL INTERDISCIPLINARY R&T,NonResidential,4207401365,616 NE NORTHLAKE PL,SEATTLE,WA,98105.0,47.65529,-122.32133,NORTHEAST,1.0,2006,6,1,143439,119570,23869,,164.3,163.0,19644168.0,19484674.0,321.5,320.1,Laboratory,Laboratory,119570.0,Parking,23869.0,,,2984312,0,93022,Compliant,No Issue,10182473.0,9302200.0,548.2,4.6
845,20056,2020,NORDHEIM COURT (UW HOUSING),Multifamily LR (1-4),0925049382,5000 25TH AVE NE,SEATTLE,WA,98105.0,47.66523,-122.29966,NORTHEAST,4.0,1980,2,1,321333,273154,48179,96.0,38.7,37.4,6762150.0,6526440.0,82.2,79.4,Multifamily LR (1-4),Multifamily Housing,174577.0,Parking,48179.0,,,1172647,0,25254,Compliant,No Issue,4001072.0,2525369.0,155.4,0.6
902,20242,2020,THE COLLEGIANA (UW MED),NonResidential,1142000445,4311 12TH AVE NE,SEATTLE,WA,98105.0,47.66023,-122.31581,NORTHEAST,4.0,1930,3,1,20571,20571,0,96.0,31.2,30.5,641936.0,627482.0,87.4,85.4,Hotel,Hotel,20571.0,,,,,183904,0,0,Compliant,No Issue,627482.0,0.0,3.3,0.2
3053,29390,2020,COMMODORE DUCHESS APTS (UW HOUSING),Multifamily MR (5-9),1142002395,4005 15TH AVE NE,SEATTLE,WA,98105.0,47.6557,-122.31244,NORTHEAST,4.0,1925,8,1,97923,97923,0,25.0,101.9,97.9,9979865.0,9587344.0,143.5,138.7,Multifamily MR (5-9),Multifamily Housing,97923.0,,,,,377495,8245736,536,Compliant,No Issue,1288014.0,53594.0,694.2,7.1
3102,41927,2020,UW - MOLECULAR ENGINEERING BLDG,NonResidential,1625049001,3946 WEST STEVENS WAY NE,SEATTLE,WA,98195.0,47.65456,-122.30933,NORTHEAST,1.0,2011,5,1,90374,90374,0,,96.6,97.5,16472635.0,16622239.0,270.6,273.1,College/University,College/University,103141.0,Laboratory,67302.0,,,4871700,0,0,Compliant,No Issue,16622240.0,0.0,88.4,1.0
3137,49715,2020,UW - ELM HALL DORM,NonResidential,1142002135,1218 NE CAMPUS PKWY,SEATTLE,WA,98105.0,47.65642,-122.31475,NORTHEAST,4.0,2012,5,1,136758,136758,0,98.0,21.2,20.4,4398254.0,4229700.0,43.3,41.8,Residence Hall/Dormitory,Residence Hall/Dormitory,207017.0,,,,,704183,0,18270,Compliant,No Issue,2402672.0,1827029.0,109.8,0.8
3138,49716,2020,UW - ALDER HALL DORM,NonResidential,1142002345,1315 NE CAMPUS PKY,SEATTLE,WA,98105.0,47.65599,-122.31385,NORTHEAST,4.0,2012,7,1,192259,192259,0,85.0,38.7,37.5,7556489.0,7326210.0,87.5,85.1,Residence Hall/Dormitory,Residence Hall/Dormitory,188118.0,Supermarket/Grocery Store,7000.0,,,1493826,0,22293,Compliant,No Issue,5096934.0,2229276.0,145.5,0.8
